eventDetLatSum: $5824473$, patternDetLatSum: $0$, totalLatencySum: $5824473$, matchedPatternsSum: $105$
eventDetLatSum: $23954739$, patternDetLatSum: $9$, totalLatencySum: $23954748$, matchedPatternsSum: $425$
eventDetLatSum: $26689584$, patternDetLatSum: $8$, totalLatencySum: $26689592$, matchedPatternsSum: $466$
eventDetLatSum: $24051652$, patternDetLatSum: $9$, totalLatencySum: $24051661$, matchedPatternsSum: $413$
eventDetLatSum: $23042794$, patternDetLatSum: $7$, totalLatencySum: $23042801$, matchedPatternsSum: $389$
eventDetLatSum: $26881478$, patternDetLatSum: $8$, totalLatencySum: $26881486$, matchedPatternsSum: $446$
eventDetLatSum: $13663762$, patternDetLatSum: $8$, totalLatencySum: $13663770$, matchedPatternsSum: $223$
eventDetLatSum: $16620486$, patternDetLatSum: $3$, totalLatencySum: $16620489$, matchedPatternsSum: $267$
eventDetLatSum: $30084937$, patternDetLatSum: $3$, totalLatencySum: $30084940$, matchedPatternsSum: $476$
eventDetLatSum: $36659027$, patternDetLatSum: $11$, totalLatencySum: $36659038$, matchedPatternsSum: $571$
eventDetLatSum: $40193921$, patternDetLatSum: $9$, totalLatencySum: $40193930$, matchedPatternsSum: $617$
eventDetLatSum: $43769773$, patternDetLatSum: $14$, totalLatencySum: $43769787$, matchedPatternsSum: $662$
eventDetLatSum: $35445418$, patternDetLatSum: $11$, totalLatencySum: $35445429$, matchedPatternsSum: $528$
eventDetLatSum: $39694523$, patternDetLatSum: $17$, totalLatencySum: $39694540$, matchedPatternsSum: $583$
eventDetLatSum: $40119108$, patternDetLatSum: $9$, totalLatencySum: $40119117$, matchedPatternsSum: $581$
eventDetLatSum: $42221947$, patternDetLatSum: $12$, totalLatencySum: $42221959$, matchedPatternsSum: $603$
eventDetLatSum: $38603520$, patternDetLatSum: $11$, totalLatencySum: $38603531$, matchedPatternsSum: $544$
eventDetLatSum: $43321101$, patternDetLatSum: $7$, totalLatencySum: $43321108$, matchedPatternsSum: $602$
eventDetLatSum: $21199498$, patternDetLatSum: $8$, totalLatencySum: $21199506$, matchedPatternsSum: $291$
eventDetLatSum: $31761894$, patternDetLatSum: $17$, totalLatencySum: $31761911$, matchedPatternsSum: $430$
eventDetLatSum: $32415798$, patternDetLatSum: $4$, totalLatencySum: $32415802$, matchedPatternsSum: $433$
eventDetLatSum: $37878502$, patternDetLatSum: $7$, totalLatencySum: $37878509$, matchedPatternsSum: $499$
eventDetLatSum: $43595476$, patternDetLatSum: $7$, totalLatencySum: $43595483$, matchedPatternsSum: $567$
eventDetLatSum: $49119788$, patternDetLatSum: $10$, totalLatencySum: $49119798$, matchedPatternsSum: $631$
eventDetLatSum: $47289805$, patternDetLatSum: $11$, totalLatencySum: $47289816$, matchedPatternsSum: $600$
eventDetLatSum: $45945475$, patternDetLatSum: $8$, totalLatencySum: $45945483$, matchedPatternsSum: $576$
eventDetLatSum: $30072556$, patternDetLatSum: $4$, totalLatencySum: $30072560$, matchedPatternsSum: $372$
eventDetLatSum: $50024872$, patternDetLatSum: $10$, totalLatencySum: $50024882$, matchedPatternsSum: $612$
eventDetLatSum: $53741864$, patternDetLatSum: $17$, totalLatencySum: $53741881$, matchedPatternsSum: $650$
eventDetLatSum: $57407958$, patternDetLatSum: $10$, totalLatencySum: $57407968$, matchedPatternsSum: $686$
eventDetLatSum: $58146105$, patternDetLatSum: $9$, totalLatencySum: $58146114$, matchedPatternsSum: $687$
eventDetLatSum: $54273841$, patternDetLatSum: $11$, totalLatencySum: $54273852$, matchedPatternsSum: $634$
eventDetLatSum: $47800245$, patternDetLatSum: $14$, totalLatencySum: $47800259$, matchedPatternsSum: $552$
eventDetLatSum: $48616762$, patternDetLatSum: $7$, totalLatencySum: $48616769$, matchedPatternsSum: $555$
eventDetLatSum: $60932549$, patternDetLatSum: $11$, totalLatencySum: $60932560$, matchedPatternsSum: $688$
eventDetLatSum: $63920648$, patternDetLatSum: $15$, totalLatencySum: $63920663$, matchedPatternsSum: $714$
eventDetLatSum: $59523921$, patternDetLatSum: $8$, totalLatencySum: $59523929$, matchedPatternsSum: $658$
eventDetLatSum: $52955990$, patternDetLatSum: $15$, totalLatencySum: $52956005$, matchedPatternsSum: $579$
eventDetLatSum: $48056497$, patternDetLatSum: $10$, totalLatencySum: $48056507$, matchedPatternsSum: $520$
eventDetLatSum: $58775166$, patternDetLatSum: $11$, totalLatencySum: $58775177$, matchedPatternsSum: $629$
eventDetLatSum: $57206008$, patternDetLatSum: $8$, totalLatencySum: $57206016$, matchedPatternsSum: $606$
eventDetLatSum: $59876401$, patternDetLatSum: $13$, totalLatencySum: $59876414$, matchedPatternsSum: $628$
eventDetLatSum: $31662894$, patternDetLatSum: $5$, totalLatencySum: $31662899$, matchedPatternsSum: $329$
eventDetLatSum: $15953972$, patternDetLatSum: $4$, totalLatencySum: $15953976$, matchedPatternsSum: $164$
eventDetLatSum: $46513364$, patternDetLatSum: $9$, totalLatencySum: $46513373$, matchedPatternsSum: $473$
eventDetLatSum: $43478328$, patternDetLatSum: $7$, totalLatencySum: $43478335$, matchedPatternsSum: $438$
eventDetLatSum: $53744372$, patternDetLatSum: $10$, totalLatencySum: $53744382$, matchedPatternsSum: $536$
eventDetLatSum: $50228619$, patternDetLatSum: $8$, totalLatencySum: $50228627$, matchedPatternsSum: $496$
eventDetLatSum: $49617347$, patternDetLatSum: $10$, totalLatencySum: $49617357$, matchedPatternsSum: $485$
eventDetLatSum: $64606193$, patternDetLatSum: $11$, totalLatencySum: $64606204$, matchedPatternsSum: $626$
eventDetLatSum: $63205688$, patternDetLatSum: $10$, totalLatencySum: $63205698$, matchedPatternsSum: $607$
eventDetLatSum: $69192218$, patternDetLatSum: $12$, totalLatencySum: $69192230$, matchedPatternsSum: $658$
eventDetLatSum: $29234856$, patternDetLatSum: $7$, totalLatencySum: $29234863$, matchedPatternsSum: $276$
eventDetLatSum: $68236956$, patternDetLatSum: $7$, totalLatencySum: $68236963$, matchedPatternsSum: $637$
eventDetLatSum: $63881294$, patternDetLatSum: $9$, totalLatencySum: $63881303$, matchedPatternsSum: $591$
eventDetLatSum: $66942950$, patternDetLatSum: $13$, totalLatencySum: $66942963$, matchedPatternsSum: $614$
eventDetLatSum: $62617465$, patternDetLatSum: $10$, totalLatencySum: $62617475$, matchedPatternsSum: $569$
eventDetLatSum: $75124089$, patternDetLatSum: $12$, totalLatencySum: $75124101$, matchedPatternsSum: $677$
eventDetLatSum: $75232641$, patternDetLatSum: $12$, totalLatencySum: $75232653$, matchedPatternsSum: $672$
eventDetLatSum: $78936669$, patternDetLatSum: $10$, totalLatencySum: $78936679$, matchedPatternsSum: $699$
eventDetLatSum: $81195291$, patternDetLatSum: $14$, totalLatencySum: $81195305$, matchedPatternsSum: $713$
eventDetLatSum: $85214312$, patternDetLatSum: $12$, totalLatencySum: $85214324$, matchedPatternsSum: $742$
eventDetLatSum: $81286057$, patternDetLatSum: $10$, totalLatencySum: $81286067$, matchedPatternsSum: $702$
eventDetLatSum: $75686041$, patternDetLatSum: $12$, totalLatencySum: $75686053$, matchedPatternsSum: $648$
eventDetLatSum: $75588403$, patternDetLatSum: $6$, totalLatencySum: $75588409$, matchedPatternsSum: $642$
eventDetLatSum: $46121884$, patternDetLatSum: $10$, totalLatencySum: $46121894$, matchedPatternsSum: $389$
eventDetLatSum: $14251641$, patternDetLatSum: $3$, totalLatencySum: $14251644$, matchedPatternsSum: $119$
eventDetLatSum: $70272367$, patternDetLatSum: $11$, totalLatencySum: $70272378$, matchedPatternsSum: $582$
eventDetLatSum: $84923249$, patternDetLatSum: $10$, totalLatencySum: $84923259$, matchedPatternsSum: $698$
eventDetLatSum: $63138032$, patternDetLatSum: $18$, totalLatencySum: $63138050$, matchedPatternsSum: $515$
eventDetLatSum: $78650158$, patternDetLatSum: $6$, totalLatencySum: $78650164$, matchedPatternsSum: $636$
eventDetLatSum: $88837079$, patternDetLatSum: $10$, totalLatencySum: $88837089$, matchedPatternsSum: $713$
eventDetLatSum: $85268048$, patternDetLatSum: $8$, totalLatencySum: $85268056$, matchedPatternsSum: $679$
eventDetLatSum: $90087878$, patternDetLatSum: $10$, totalLatencySum: $90087888$, matchedPatternsSum: $712$
eventDetLatSum: $93063869$, patternDetLatSum: $18$, totalLatencySum: $93063887$, matchedPatternsSum: $730$
eventDetLatSum: $82181249$, patternDetLatSum: $12$, totalLatencySum: $82181261$, matchedPatternsSum: $640$
eventDetLatSum: $81385266$, patternDetLatSum: $14$, totalLatencySum: $81385280$, matchedPatternsSum: $629$
eventDetLatSum: $38026903$, patternDetLatSum: $6$, totalLatencySum: $38026909$, matchedPatternsSum: $292$
eventDetLatSum: $29305888$, patternDetLatSum: $6$, totalLatencySum: $29305894$, matchedPatternsSum: $223$
eventDetLatSum: $67389477$, patternDetLatSum: $12$, totalLatencySum: $67389489$, matchedPatternsSum: $509$
eventDetLatSum: $73244753$, patternDetLatSum: $12$, totalLatencySum: $73244765$, matchedPatternsSum: $549$
eventDetLatSum: $36437655$, patternDetLatSum: $5$, totalLatencySum: $36437660$, matchedPatternsSum: $271$
eventDetLatSum: $69856391$, patternDetLatSum: $11$, totalLatencySum: $69856402$, matchedPatternsSum: $516$
eventDetLatSum: $84264713$, patternDetLatSum: $11$, totalLatencySum: $84264724$, matchedPatternsSum: $618$
eventDetLatSum: $97343054$, patternDetLatSum: $16$, totalLatencySum: $97343070$, matchedPatternsSum: $709$
eventDetLatSum: $79749610$, patternDetLatSum: $10$, totalLatencySum: $79749620$, matchedPatternsSum: $577$
eventDetLatSum: $77163282$, patternDetLatSum: $8$, totalLatencySum: $77163290$, matchedPatternsSum: $554$
eventDetLatSum: $97731217$, patternDetLatSum: $17$, totalLatencySum: $97731234$, matchedPatternsSum: $697$
eventDetLatSum: $101078016$, patternDetLatSum: $10$, totalLatencySum: $101078026$, matchedPatternsSum: $716$
eventDetLatSum: $100922532$, patternDetLatSum: $18$, totalLatencySum: $100922550$, matchedPatternsSum: $710$
eventDetLatSum: $102466474$, patternDetLatSum: $14$, totalLatencySum: $102466488$, matchedPatternsSum: $716$
eventDetLatSum: $103594056$, patternDetLatSum: $12$, totalLatencySum: $103594068$, matchedPatternsSum: $719$
eventDetLatSum: $100222156$, patternDetLatSum: $8$, totalLatencySum: $100222164$, matchedPatternsSum: $691$
eventDetLatSum: $90090426$, patternDetLatSum: $16$, totalLatencySum: $90090442$, matchedPatternsSum: $617$
eventDetLatSum: $100680593$, patternDetLatSum: $16$, totalLatencySum: $100680609$, matchedPatternsSum: $685$
eventDetLatSum: $94531238$, patternDetLatSum: $12$, totalLatencySum: $94531250$, matchedPatternsSum: $639$
eventDetLatSum: $95160992$, patternDetLatSum: $11$, totalLatencySum: $95161003$, matchedPatternsSum: $639$
eventDetLatSum: $88006040$, patternDetLatSum: $12$, totalLatencySum: $88006052$, matchedPatternsSum: $587$
eventDetLatSum: $108030195$, patternDetLatSum: $16$, totalLatencySum: $108030211$, matchedPatternsSum: $716$
eventDetLatSum: $97619624$, patternDetLatSum: $10$, totalLatencySum: $97619634$, matchedPatternsSum: $643$
eventDetLatSum: $95974658$, patternDetLatSum: $4$, totalLatencySum: $95974662$, matchedPatternsSum: $628$
eventDetLatSum: $96731015$, patternDetLatSum: $8$, totalLatencySum: $96731023$, matchedPatternsSum: $629$
eventDetLatSum: $101221494$, patternDetLatSum: $12$, totalLatencySum: $101221506$, matchedPatternsSum: $654$
eventDetLatSum: $77107205$, patternDetLatSum: $8$, totalLatencySum: $77107213$, matchedPatternsSum: $495$
eventDetLatSum: $100006366$, patternDetLatSum: $10$, totalLatencySum: $100006376$, matchedPatternsSum: $638$
eventDetLatSum: $100288935$, patternDetLatSum: $17$, totalLatencySum: $100288952$, matchedPatternsSum: $636$
eventDetLatSum: $106780751$, patternDetLatSum: $12$, totalLatencySum: $106780763$, matchedPatternsSum: $673$
eventDetLatSum: $106004269$, patternDetLatSum: $10$, totalLatencySum: $106004279$, matchedPatternsSum: $664$
