eventDetLatSum: $73288$, patternDetLatSum: $3$, totalLatencySum: $73291$, matchedPatternsSum: $261$
eventDetLatSum: $125080$, patternDetLatSum: $3$, totalLatencySum: $125083$, matchedPatternsSum: $318$
eventDetLatSum: $166669$, patternDetLatSum: $7$, totalLatencySum: $166676$, matchedPatternsSum: $369$
eventDetLatSum: $97600$, patternDetLatSum: $2$, totalLatencySum: $97602$, matchedPatternsSum: $280$
eventDetLatSum: $97909$, patternDetLatSum: $2$, totalLatencySum: $97911$, matchedPatternsSum: $280$
eventDetLatSum: $94230$, patternDetLatSum: $2$, totalLatencySum: $94232$, matchedPatternsSum: $300$
eventDetLatSum: $91966$, patternDetLatSum: $2$, totalLatencySum: $91968$, matchedPatternsSum: $300$
eventDetLatSum: $101474$, patternDetLatSum: $2$, totalLatencySum: $101476$, matchedPatternsSum: $299$
eventDetLatSum: $103898$, patternDetLatSum: $4$, totalLatencySum: $103902$, matchedPatternsSum: $299$
eventDetLatSum: $110272$, patternDetLatSum: $4$, totalLatencySum: $110276$, matchedPatternsSum: $312$
eventDetLatSum: $109677$, patternDetLatSum: $5$, totalLatencySum: $109682$, matchedPatternsSum: $312$
eventDetLatSum: $103732$, patternDetLatSum: $20$, totalLatencySum: $103752$, matchedPatternsSum: $398$
eventDetLatSum: $104214$, patternDetLatSum: $14$, totalLatencySum: $104228$, matchedPatternsSum: $398$
eventDetLatSum: $111597$, patternDetLatSum: $7$, totalLatencySum: $111604$, matchedPatternsSum: $412$
eventDetLatSum: $112046$, patternDetLatSum: $5$, totalLatencySum: $112051$, matchedPatternsSum: $449$
eventDetLatSum: $79167$, patternDetLatSum: $1$, totalLatencySum: $79168$, matchedPatternsSum: $137$
eventDetLatSum: $40201$, patternDetLatSum: $1$, totalLatencySum: $40202$, matchedPatternsSum: $311$
eventDetLatSum: $117483$, patternDetLatSum: $46$, totalLatencySum: $117529$, matchedPatternsSum: $411$
eventDetLatSum: $100332$, patternDetLatSum: $3$, totalLatencySum: $100335$, matchedPatternsSum: $251$
eventDetLatSum: $101026$, patternDetLatSum: $3$, totalLatencySum: $101029$, matchedPatternsSum: $251$
eventDetLatSum: $97484$, patternDetLatSum: $1$, totalLatencySum: $97485$, matchedPatternsSum: $279$
eventDetLatSum: $95487$, patternDetLatSum: $0$, totalLatencySum: $95487$, matchedPatternsSum: $279$
eventDetLatSum: $127465$, patternDetLatSum: $18$, totalLatencySum: $127483$, matchedPatternsSum: $458$
eventDetLatSum: $125269$, patternDetLatSum: $3$, totalLatencySum: $125272$, matchedPatternsSum: $458$
eventDetLatSum: $123049$, patternDetLatSum: $0$, totalLatencySum: $123049$, matchedPatternsSum: $220$
eventDetLatSum: $123017$, patternDetLatSum: $1$, totalLatencySum: $123018$, matchedPatternsSum: $220$
